seed,year,fromGenre,toGenre,selectionMode,opportunities,unavailableIdentity,annualFloorRequested,annualFloorReroutes
1001,1960,Blues,Blues,Retained,52,0,0,0
1001,1960,Blues,Blues,WeightedTransition,2,0,0,0
1001,1960,Blues,Childrens,WeightedTransition,2,0,0,0
1001,1960,Blues,Classical,WeightedTransition,1,0,0,0
1001,1960,Blues,Comedy,WeightedTransition,1,0,0,0
1001,1960,Blues,DooWop,WeightedTransition,4,0,0,0
1001,1960,Blues,EasyListening,WeightedTransition,3,0,0,0
1001,1960,Blues,TexMex,WeightedTransition,1,0,0,0
1001,1960,Blues,TraditionalPop,WeightedTransition,3,0,0,0
1001,1960,Childrens,Childrens,Retained,11,0,0,0
1001,1960,Childrens,Childrens,WeightedTransition,1,0,0,0
1001,1960,Childrens,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Childrens,TraditionalPop,WeightedTransition,1,0,0,0
1001,1960,Classical,Childrens,WeightedTransition,1,0,0,0
1001,1960,Classical,Classical,Retained,58,0,0,0
1001,1960,Classical,Classical,WeightedTransition,1,0,0,0
1001,1960,Classical,Comedy,WeightedTransition,2,0,0,0
1001,1960,Classical,Country,WeightedTransition,2,0,0,0
1001,1960,Classical,Gospel,WeightedTransition,1,0,0,0
1001,1960,Classical,RnB,WeightedTransition,1,0,0,0
1001,1960,Classical,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Classical,TeenPop,WeightedTransition,2,0,0,0
1001,1960,Classical,TraditionalPop,WeightedTransition,3,0,0,0
1001,1960,Comedy,Childrens,WeightedTransition,1,0,0,0
1001,1960,Comedy,Classical,WeightedTransition,1,0,0,0
1001,1960,Comedy,Comedy,Retained,28,0,0,0
1001,1960,Comedy,Comedy,WeightedTransition,1,0,0,0
1001,1960,Comedy,Country,WeightedTransition,1,0,0,0
1001,1960,Comedy,DooWop,WeightedTransition,2,0,0,0
1001,1960,Comedy,EasyListening,WeightedTransition,3,0,0,0
1001,1960,Comedy,Jazz,WeightedTransition,2,0,0,0
1001,1960,Comedy,TraditionalPop,WeightedTransition,3,0,0,0
1001,1960,Country,Blues,AnnualFloor,1,0,1,0
