seed,year,genre,eligibleArtistProjectOpportunities,retainedSelections,transitionSelections,annualFloorSelections,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,singleDecisions,albumDecisions,orphanDecisions,promoDecisions,fulfilledUnits,settlementSingleUnits,settlementAlbumUnits
1001,1960,AcidRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BaroquePop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Blues,70,52,15,3,0,3,0,0,45,23,45,23,789183,772127,18522
1001,1960,BluesRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Boogaloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BossaNova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBlues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishPop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Bubblegum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Childrens,29,11,15,3,0,3,0,0,9,20,9,20,544395,541595,3276
1001,1960,Classical,70,58,9,3,0,3,0,0,32,38,32,38,954488,947692,8082
1001,1960,Comedy,51,28,20,3,0,3,0,0,17,34,17,34,1253956,1249837,4970
1001,1960,ContemporaryFolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Country,360,297,60,3,0,3,0,0,325,40,325,40,15637876,15605928,43001
1001,1960,CountryRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,DooWop,312,203,106,3,0,3,0,0,296,17,296,17,7634608,7640801,1863
1001,1960,EasyListening,221,159,59,3,0,3,0,0,54,166,54,166,8003551,7668368,339539
1001,1960,Folk,168,114,51,3,0,3,0,0,58,111,58,111,5040947,4910067,135663
1001,1960,FolkRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Funk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,GarageRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Gospel,67,24,40,3,0,3,0,0,25,44,25,44,1004460,990023,16387
1001,1960,HardRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Jazz,290,248,39,3,0,3,0,0,76,218,76,218,17495021,16777171,726478
