seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1960,AcidRock,Rock,1966,1971,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,BaroquePop,Pop,1966,1970,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Blues,Blues,1945,,0.5,0.3,93,74,16,3,0,3,0,0,94,48,46,51.06382978723404,48,0,46,2010610,1.3517795393942709,1139538,36.174109914835746,21619.462365591397,1959024,54382,97.29900477101985,0.3756881538461539,55.19230769230769,1.5,1.7760239890109886
1001,1960,BluesRock,Rock,1966,,0.45,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03522040659340664,0,0,0
1001,1960,Boogaloo,Latin,1966,1969,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023631664835164882,0,0,0
1001,1960,BossaNova,Jazz,1962,1967,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16428329120879112,0,0,0
1001,1960,BritishBeat,Rock,1963,1967,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,BritishBlues,Rock,1964,,0.65,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534178571428595,0,0,0
1001,1960,BritishPop,Pop,1964,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125341730769231,0,0,0
1001,1960,Bubblegum,Pop,1967,1971,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,Childrens,NonMusic,1950,,0.3,0.35,51,24,24,3,0,3,0,0,50,9,41,18,9,0,41,888234,0.5971802325634165,518401,36.85398131000579,17416.352941176472,877604,11827,98.67027346696933,0.422565785714286,29.28846153846154,0.4423076923076923,0.8985776483516487
1001,1960,Classical,Classical,1945,,0.15,0.4,99,77,19,3,0,3,0,0,96,0,96,0,0,1,95,1634744,1.0990761467154486,882884,35.06808789860933,16512.565656565657,1558309,78939,95.17855572277382,0.4921779725274746,76.59615384615384,0.8461538461538461,1.8273885219780213
1001,1960,Comedy,NonMusic,1955,,0.15,0.4,52,32,17,3,0,3,0,0,51,4,47,7.8431372549019605,4,0,47,1234680,0.8301038797674927,523577,29.778183735369744,23743.846153846152,1216582,19135,98.45150629148907,0.5552683763736249,32.71153846153846,0.9038461538461539,0.976145914835165
1001,1960,ContemporaryFolk,Folk,1961,1969,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760244065934061,0,0,0
1001,1960,Country,Country,1950,,0.65,0.65,386,311,72,3,0,3,0,0,395,374,21,94.68354430379746,374,0,21,15338592,10.312489656729374,218726,1.405936421689137,39737.284974093265,15334695,15500,99.89902408405887,0.8213246236263748,170.01923076923077,9.807692307692308,11.679652247252749
1001,1960,CountryRock,Country,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,DooWop,RhythmAndSoul,1954,1965,0.85,0.75,386,253,130,3,0,3,0,0,391,376,15,96.16368286445012,376,0,15,11603209,7.801105394639168,5662450,32.796025914794214,30060.12694300518,11611022,1375,99.98815920606228,0.8545870576923081,135.46153846153845,8.48076923076923,10.394628178571425
1001,1960,EasyListening,Pop,1950,,0.35,0.8,297,235,59,3,0,3,0,0,283,62,221,21.908127208480565,62,0,221,13542822,9.105152011209832,4143173,23.426292951004452,45598.72727272727,12682421,867419,93.59830817190462,0.9123422554945045,204.51923076923077,31.903846153846153,9.497438445054943
1001,1960,Folk,Folk,1958,1966,0.5,0.4,154,102,49,3,0,3,0,0,155,53,102,34.193548387096776,53,0,102,5158692,3.4683077750716995,1943008,27.359758930960194,33498,5034038,129103,97.49952596684848,0.5529439780219783,103.03846153846153,5.25,3.591968991758239
1001,1960,FolkRock,Folk,1965,,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023853346153846124,0,0,0
1001,1960,Funk,RhythmAndSoul,1967,,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025401873626373618,0,0,0
1001,1960,GarageRock,Rock,1963,1968,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12534148351648328,0,0,0
1001,1960,Gospel,Gospel,1950,,0.5,0.35,75,24,48,3,0,3,0,0,75,38,37,50.666666666666664,38,0,37,942550,0.633698133828077,751129,44.348958686976694,12567.333333333334,934819,9445,98.99975006989571,0.452213428571429,37.25,0.2692307692307692,1.2775491730769226
