genre,family,year,targetSharePct,currentThreeSeedMeanSharePct,deltaPctPoints
Acid Rock,Rock,1960,0,0,0
Acid Rock,Rock,1961,0,0,0
Acid Rock,Rock,1962,0,0,0
Acid Rock,Rock,1963,0,0,0
Acid Rock,Rock,1964,0,0,0
Acid Rock,Rock,1965,0,0,0
Acid Rock,Rock,1966,0.13,0,-0.13
Acid Rock,Rock,1967,0.54,0,-0.54
Acid Rock,Rock,1968,0.71,0,-0.71
Acid Rock,Rock,1969,0.44,0,-0.44
Baroque Pop,Pop,1960,0,0,0
Baroque Pop,Pop,1961,0,0,0
Baroque Pop,Pop,1962,0,0,0
Baroque Pop,Pop,1963,0,0,0
Baroque Pop,Pop,1964,0,0,0
Baroque Pop,Pop,1965,0,0,0
Baroque Pop,Pop,1966,0.4,0,-0.4
Baroque Pop,Pop,1967,0.8,0,-0.8
Baroque Pop,Pop,1968,0.57,0,-0.57
Baroque Pop,Pop,1969,0.29,0,-0.29
Blues,Blues,1960,2.6,2.1801359367122277,-0.41986406328777237
Blues,Blues,1961,2.72,1.6346184160297637,-1.0853815839702365
Blues,Blues,1962,2.65,0,-2.65
Blues,Blues,1963,2.55,0,-2.55
Blues,Blues,1964,2.26,0,-2.26
Blues,Blues,1965,2.36,0,-2.36
Blues,Blues,1966,2.27,0,-2.27
Blues,Blues,1967,2.01,0,-2.01
Blues,Blues,1968,1.85,0,-1.85
Blues,Blues,1969,1.75,0,-1.75
Blues Rock,Rock,1960,0,0,0
Blues Rock,Rock,1961,0,0,0
Blues Rock,Rock,1962,0,0,0
Blues Rock,Rock,1963,0,0,0
Blues Rock,Rock,1964,0,0,0
Blues Rock,Rock,1965,0.12,0,-0.12
Blues Rock,Rock,1966,0.4,0,-0.4
Blues Rock,Rock,1967,0.8,0,-0.8
Blues Rock,Rock,1968,1.56,0,-1.56
Blues Rock,Rock,1969,2.34,0,-2.34
Boogaloo,Latin,1960,0,0,0
Boogaloo,Latin,1961,0,0,0
Boogaloo,Latin,1962,0,0,0
Boogaloo,Latin,1963,0,0,0
Boogaloo,Latin,1964,0,0,0
Boogaloo,Latin,1965,0.12,0,-0.12
Boogaloo,Latin,1966,0.4,0,-0.4
Boogaloo,Latin,1967,0.6,0,-0.6
Boogaloo,Latin,1968,0.5,0,-0.5
Boogaloo,Latin,1969,0.22,0,-0.22
Bossa Nova,Jazz,1960,0,0,0
Bossa Nova,Jazz,1961,0.12,0,-0.12
Bossa Nova,Jazz,1962,1.08,0,-1.08
Bossa Nova,Jazz,1963,1.46,0,-1.46
Bossa Nova,Jazz,1964,1.69,0,-1.69
Bossa Nova,Jazz,1965,0.87,0,-0.87
Bossa Nova,Jazz,1966,0.33,0,-0.33
Bossa Nova,Jazz,1967,0.13,0,-0.13
Bossa Nova,Jazz,1968,0.07,0,-0.07
Bossa Nova,Jazz,1969,0.03,0,-0.03
British Beat,Rock,1960,0,0,0
British Beat,Rock,1961,0,0,0
British Beat,Rock,1962,0,0,0
British Beat,Rock,1963,0.06,0,-0.06
British Beat,Rock,1964,8.47,0,-8.47
British Beat,Rock,1965,7.46,0,-7.46
British Beat,Rock,1966,4.27,0,-4.27
British Beat,Rock,1967,2.14,0,-2.14
British Beat,Rock,1968,1.28,0,-1.28
British Beat,Rock,1969,0.88,0,-0.88
British Blues,Rock,1960,0,0,0
British Blues,Rock,1961,0,0,0
British Blues,Rock,1962,0,0,0
British Blues,Rock,1963,0,0,0
British Blues,Rock,1964,0.23,0,-0.23
British Blues,Rock,1965,0.75,0,-0.75
British Blues,Rock,1966,1.73,0,-1.73
British Blues,Rock,1967,2.68,0,-2.68
British Blues,Rock,1968,3.69,0,-3.69
British Blues,Rock,1969,4.09,0,-4.09
British Pop,Pop,1960,0,0,0
British Pop,Pop,1961,0,0,0
British Pop,Pop,1962,0,0,0
British Pop,Pop,1963,0.12,0,-0.12
British Pop,Pop,1964,5.08,0,-5.08
British Pop,Pop,1965,4.97,0,-4.97
British Pop,Pop,1966,4,0,-4
British Pop,Pop,1967,2.95,0,-2.95
British Pop,Pop,1968,2.27,0,-2.27
British Pop,Pop,1969,1.75,0,-1.75
Bubblegum,Pop,1960,0,0,0
Bubblegum,Pop,1961,0,0,0
Bubblegum,Pop,1962,0,0,0
Bubblegum,Pop,1963,0,0,0
Bubblegum,Pop,1964,0,0,0
Bubblegum,Pop,1965,0,0,0
Bubblegum,Pop,1966,0,0,0
Bubblegum,Pop,1967,0.13,0,-0.13
Bubblegum,Pop,1968,1.99,0,-1.99
Bubblegum,Pop,1969,4.09,0,-4.09
Children's,NonMusic,1960,0.45,0.3688109993213103,-0.08118900067868973
Children's,NonMusic,1961,0.47,0.7202509380091923,0.2502509380091923
Children's,NonMusic,1962,0.48,0,-0.48
Children's,NonMusic,1963,0.49,0,-0.49
Children's,NonMusic,1964,0.4,0,-0.4
Children's,NonMusic,1965,0.43,0,-0.43
Children's,NonMusic,1966,0.4,0,-0.4
Children's,NonMusic,1967,0.4,0,-0.4
Children's,NonMusic,1968,0.43,0,-0.43
Children's,NonMusic,1969,0.44,0,-0.44
Classical,Classical,1960,2.04,1.5373081404525508,-0.5026918595474492
Classical,Classical,1961,2.13,1.4527489177217712,-0.6772510822782287
Classical,Classical,1962,2.05,0,-2.05
Classical,Classical,1963,1.94,0,-1.94
Classical,Classical,1964,1.69,0,-1.69
Classical,Classical,1965,1.74,0,-1.74
Classical,Classical,1966,1.73,0,-1.73
Classical,Classical,1967,1.74,0,-1.74
Classical,Classical,1968,2.13,0,-2.13
Classical,Classical,1969,2.05,0,-2.05
Comedy,NonMusic,1960,0.79,0.52454072213999,-0.26545927786001
Comedy,NonMusic,1961,0.83,1.1429961762434504,0.31299617624345044
Comedy,NonMusic,1962,0.84,0,-0.84
Comedy,NonMusic,1963,0.73,0,-0.73
Comedy,NonMusic,1964,0.68,0,-0.68
Comedy,NonMusic,1965,0.62,0,-0.62
Comedy,NonMusic,1966,0.67,0,-0.67
Comedy,NonMusic,1967,0.67,0,-0.67
Comedy,NonMusic,1968,0.57,0,-0.57
Comedy,NonMusic,1969,0.58,0,-0.58
Contemporary Folk,Folk,1960,0,0,0
Contemporary Folk,Folk,1961,0,0.26204594860979125,0.26204594860979125
Contemporary Folk,Folk,1962,0,0,0
Contemporary Folk,Folk,1963,0.36,0,-0.36
Contemporary Folk,Folk,1964,0.9,0,-0.9
Contemporary Folk,Folk,1965,1.37,0,-1.37
Contemporary Folk,Folk,1966,1.33,0,-1.33
Contemporary Folk,Folk,1967,1.21,0,-1.21
Contemporary Folk,Folk,1968,0.99,0,-0.99
Contemporary Folk,Folk,1969,0.73,0,-0.73
Country,Country,1960,8.38,9.983639687024494,1.6036396870244936
Country,Country,1961,8.27,10.352744330389777,2.0827443303897777
Country,Country,1962,9.16,0,-9.16
Country,Country,1963,9.1,0,-9.1
Country,Country,1964,9.04,0,-9.04
Country,Country,1965,10.07,0,-10.07
Country,Country,1966,11.33,0,-11.33
Country,Country,1967,10.98,0,-10.98
Country,Country,1968,11.36,0,-11.36
Country,Country,1969,11.69,0,-11.69
Country Rock,Country,1960,0,0,0
Country Rock,Country,1961,0,0,0
Country Rock,Country,1962,0,0,0
Country Rock,Country,1963,0,0,0
Country Rock,Country,1964,0,0,0
Country Rock,Country,1965,0,0,0
Country Rock,Country,1966,0,0,0
Country Rock,Country,1967,0.07,0,-0.07
Country Rock,Country,1968,0.57,0,-0.57
Country Rock,Country,1969,1.31,0,-1.31
Doo-Wop,RhythmAndSoul,1960,5.09,4.975237175013506,-0.11476282498649404
Doo-Wop,RhythmAndSoul,1961,3.78,4.204821632979106,0.4248216329791066
Doo-Wop,RhythmAndSoul,1962,2.17,0,-2.17
Doo-Wop,RhythmAndSoul,1963,0.85,0,-0.85
Doo-Wop,RhythmAndSoul,1964,0.23,0,-0.23
Doo-Wop,RhythmAndSoul,1965,0.06,0,-0.06
