seed,year,fromGenre,toGenre,selectionMode,opportunities,unavailableIdentity,annualFloorRequested,annualFloorReroutes
1001,1960,Blues,Blues,Retained,128,0,0,0
1001,1960,Blues,Blues,WeightedTransition,8,0,0,0
1001,1960,Blues,Classical,WeightedTransition,1,0,0,0
1001,1960,Blues,Country,WeightedTransition,2,0,0,0
1001,1960,Blues,DooWop,WeightedTransition,3,0,0,0
1001,1960,Blues,EasyListening,WeightedTransition,3,0,0,0
1001,1960,Blues,Folk,WeightedTransition,1,0,0,0
1001,1960,Blues,Gospel,WeightedTransition,1,0,0,0
1001,1960,Blues,Jazz,WeightedTransition,2,0,0,0
1001,1960,Blues,RnB,WeightedTransition,6,0,0,0
1001,1960,Blues,RockAndRoll,WeightedTransition,11,0,0,0
1001,1960,Blues,Soul,WeightedTransition,2,0,0,0
1001,1960,Blues,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Blues,TexMex,WeightedTransition,1,0,0,0
1001,1960,Blues,TraditionalPop,WeightedTransition,1,0,0,0
1001,1960,Childrens,Blues,WeightedTransition,1,0,0,0
1001,1960,Childrens,Childrens,Retained,29,0,0,0
1001,1960,Childrens,Comedy,WeightedTransition,1,0,0,0
1001,1960,Childrens,Country,WeightedTransition,1,0,0,0
1001,1960,Childrens,DooWop,WeightedTransition,1,0,0,0
1001,1960,Childrens,Folk,WeightedTransition,1,0,0,0
1001,1960,Childrens,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Classical,Classical,Retained,113,0,0,0
1001,1960,Classical,Classical,WeightedTransition,3,0,0,0
1001,1960,Classical,Comedy,WeightedTransition,1,0,0,0
1001,1960,Classical,EasyListening,WeightedTransition,4,0,0,0
1001,1960,Classical,Jazz,WeightedTransition,1,0,0,0
1001,1960,Classical,RnB,WeightedTransition,1,0,0,0
1001,1960,Classical,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Classical,Soul,WeightedTransition,1,0,0,0
1001,1960,Classical,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Classical,TraditionalPop,WeightedTransition,6,0,0,0
1001,1960,Comedy,Blues,WeightedTransition,2,0,0,0
1001,1960,Comedy,Childrens,WeightedTransition,1,0,0,0
1001,1960,Comedy,Comedy,Retained,27,0,0,0
1001,1960,Comedy,Comedy,WeightedTransition,1,0,0,0
1001,1960,Comedy,Country,WeightedTransition,1,0,0,0
1001,1960,Comedy,DooWop,WeightedTransition,3,0,0,0
1001,1960,Comedy,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Comedy,RnB,WeightedTransition,1,0,0,0
1001,1960,Comedy,RockAndRoll,WeightedTransition,2,0,0,0
1001,1960,Comedy,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Comedy,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,Country,Childrens,AnnualFloor,1,0,1,0
1001,1960,Country,Childrens,WeightedTransition,1,0,0,0
1001,1960,Country,Classical,AnnualFloor,1,0,1,0
1001,1960,Country,Classical,WeightedTransition,1,0,0,0
1001,1960,Country,Comedy,AnnualFloor,1,0,1,0
1001,1960,Country,Comedy,WeightedTransition,1,0,0,0
1001,1960,Country,Country,AnnualFloor,1,0,1,0
1001,1960,Country,Country,Retained,271,0,0,0
1001,1960,Country,Country,WeightedTransition,44,0,0,0
1001,1960,Country,DooWop,WeightedTransition,5,0,0,0
1001,1960,Country,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Country,Folk,AnnualFloor,2,0,2,0
1001,1960,Country,Folk,WeightedTransition,16,0,0,0
1001,1960,Country,Gospel,WeightedTransition,3,0,0,0
1001,1960,Country,LatinPop,WeightedTransition,2,0,0,0
1001,1960,Country,RnB,WeightedTransition,2,0,0,0
1001,1960,Country,RockAndRoll,WeightedTransition,3,0,0,0
1001,1960,Country,Soul,AnnualFloor,1,0,1,0
1001,1960,Country,Soul,WeightedTransition,1,0,0,0
1001,1960,Country,TeenPop,WeightedTransition,4,0,0,0
1001,1960,Country,TexMex,WeightedTransition,1,0,0,0
1001,1960,Country,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,DooWop,Blues,WeightedTransition,2,0,0,0
1001,1960,DooWop,Childrens,AnnualFloor,1,0,1,0
1001,1960,DooWop,Classical,WeightedTransition,2,0,0,0
1001,1960,DooWop,DooWop,Retained,166,0,0,0
1001,1960,DooWop,DooWop,WeightedTransition,19,0,0,0
1001,1960,DooWop,EasyListening,WeightedTransition,1,0,0,0
1001,1960,DooWop,Folk,WeightedTransition,2,0,0,0
1001,1960,DooWop,Gospel,WeightedTransition,1,0,0,0
1001,1960,DooWop,RnB,WeightedTransition,6,0,0,0
1001,1960,DooWop,Soul,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Blues,WeightedTransition,2,0,0,0
1001,1960,EasyListening,Country,WeightedTransition,1,0,0,0
1001,1960,EasyListening,DooWop,WeightedTransition,1,0,0,0
1001,1960,EasyListening,EasyListening,Retained,184,0,0,0
1001,1960,EasyListening,EasyListening,WeightedTransition,9,0,0,0
1001,1960,EasyListening,Gospel,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Jazz,WeightedTransition,3,0,0,0
1001,1960,EasyListening,RnB,WeightedTransition,1,0,0,0
1001,1960,EasyListening,RockAndRoll,WeightedTransition,2,0,0,0
1001,1960,EasyListening,TeenPop,WeightedTransition,7,0,0,0
1001,1960,EasyListening,TraditionalPop,WeightedTransition,10,0,0,0
1001,1960,Folk,Blues,WeightedTransition,3,0,0,0
1001,1960,Folk,Childrens,WeightedTransition,2,0,0,0
1001,1960,Folk,Comedy,AnnualFloor,1,0,1,0
1001,1960,Folk,Comedy,WeightedTransition,1,0,0,0
1001,1960,Folk,Country,AnnualFloor,1,0,1,0
1001,1960,Folk,Country,WeightedTransition,5,0,0,0
1001,1960,Folk,DooWop,WeightedTransition,4,0,0,0
1001,1960,Folk,EasyListening,AnnualFloor,1,0,1,0
1001,1960,Folk,EasyListening,WeightedTransition,5,0,0,0
1001,1960,Folk,Folk,AnnualFloor,1,0,1,0
1001,1960,Folk,Folk,Retained,150,0,0,0
1001,1960,Folk,Folk,WeightedTransition,33,0,0,0
1001,1960,Folk,Gospel,WeightedTransition,2,0,0,0
1001,1960,Folk,Jazz,WeightedTransition,2,0,0,0
1001,1960,Folk,LatinPop,WeightedTransition,1,0,0,0
1001,1960,Folk,RnB,WeightedTransition,1,0,0,0
1001,1960,Folk,RockAndRoll,WeightedTransition,3,0,0,0
1001,1960,Folk,TeenPop,WeightedTransition,5,0,0,0
1001,1960,Folk,TexMex,AnnualFloor,1,0,1,0
1001,1960,Folk,TexMex,WeightedTransition,1,0,0,0
1001,1960,Folk,TraditionalPop,WeightedTransition,5,0,0,0
1001,1960,Gospel,Childrens,WeightedTransition,2,0,0,0
1001,1960,Gospel,Classical,WeightedTransition,1,0,0,0
1001,1960,Gospel,Comedy,WeightedTransition,2,0,0,0
1001,1960,Gospel,Country,WeightedTransition,7,0,0,0
1001,1960,Gospel,DooWop,WeightedTransition,8,0,0,0
1001,1960,Gospel,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Gospel,Folk,WeightedTransition,3,0,0,0
1001,1960,Gospel,Gospel,Retained,50,0,0,0
1001,1960,Gospel,Gospel,WeightedTransition,10,0,0,0
1001,1960,Gospel,RnB,WeightedTransition,4,0,0,0
1001,1960,Gospel,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Gospel,Soul,WeightedTransition,3,0,0,0
1001,1960,Gospel,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Jazz,Blues,WeightedTransition,1,0,0,0
1001,1960,Jazz,Country,WeightedTransition,3,0,0,0
1001,1960,Jazz,DooWop,AnnualFloor,1,0,1,0
1001,1960,Jazz,DooWop,WeightedTransition,2,0,0,0
1001,1960,Jazz,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Jazz,Gospel,WeightedTransition,1,0,0,0
1001,1960,Jazz,Jazz,Retained,146,0,0,0
1001,1960,Jazz,Jazz,WeightedTransition,11,0,0,0
1001,1960,Jazz,RnB,WeightedTransition,1,0,0,0
1001,1960,Jazz,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Jazz,Soul,WeightedTransition,1,0,0,0
1001,1960,Jazz,TeenPop,WeightedTransition,2,0,0,0
1001,1960,Jazz,TraditionalPop,AnnualFloor,1,0,1,0
1001,1960,Jazz,TraditionalPop,WeightedTransition,7,0,0,0
1001,1960,LatinPop,Childrens,WeightedTransition,2,0,0,0
1001,1960,LatinPop,Classical,WeightedTransition,1,0,0,0
1001,1960,LatinPop,Folk,WeightedTransition,2,0,0,0
1001,1960,LatinPop,Gospel,WeightedTransition,1,0,0,0
1001,1960,LatinPop,Jazz,WeightedTransition,1,0,0,0
1001,1960,LatinPop,LatinPop,Retained,26,0,0,0
1001,1960,LatinPop,LatinPop,WeightedTransition,1,0,0,0
1001,1960,LatinPop,RnB,WeightedTransition,1,0,0,0
1001,1960,LatinPop,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,LatinPop,TexMex,WeightedTransition,2,0,0,0
1001,1960,RnB,Blues,AnnualFloor,1,0,1,0
1001,1960,RnB,Blues,WeightedTransition,1,0,0,0
1001,1960,RnB,Childrens,WeightedTransition,2,0,0,0
1001,1960,RnB,Classical,WeightedTransition,5,0,0,0
1001,1960,RnB,Comedy,AnnualFloor,1,0,1,0
1001,1960,RnB,Comedy,WeightedTransition,6,0,0,0
