seed,year,genre,eligibleArtistProjectOpportunities,retainedSelections,transitionSelections,annualFloorSelections,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,singleDecisions,albumDecisions,orphanDecisions,promoDecisions,fulfilledUnits,settlementSingleUnits,settlementAlbumUnits
1001,1960,AcidRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BaroquePop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Blues,160,128,29,3,0,3,0,0,86,80,86,80,3235561,3175535,64890
1001,1960,BluesRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Boogaloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BossaNova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBlues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishPop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Bubblegum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Childrens,49,29,17,3,0,3,0,0,3,46,3,46,547356,528358,19858
1001,1960,Classical,137,113,21,3,0,3,0,0,0,138,0,131,2281534,1941614,343589
1001,1960,Comedy,50,27,20,3,0,3,0,0,2,48,2,48,778476,737059,42431
1001,1960,ContemporaryFolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Country,357,271,83,3,0,3,0,0,356,12,356,12,14816817,14816850,10266
1001,1960,CountryRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,DooWop,306,166,137,3,0,3,0,0,307,4,307,4,7383798,7391292,226
1001,1960,EasyListening,251,184,64,3,0,3,0,0,62,192,62,192,8854145,8117341,742932
1001,1960,Folk,223,150,70,3,0,3,0,0,81,145,81,145,7677448,7503921,180495
1001,1960,FolkRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Funk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,GarageRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Gospel,106,50,53,3,0,3,0,0,96,11,96,11,1394895,1395687,1593
1001,1960,HardRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Jazz,182,146,33,3,0,3,0,0,32,156,32,156,9417524,9007066,415797
