seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1960,AcidRock,Rock,1966,1971,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,BaroquePop,Pop,1966,1970,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Blues,Blues,1945,,0.5,0.3,160,128,29,3,0,3,0,0,166,86,80,51.80722891566265,86,0,80,3235561,2.1801359367122277,1643477,33.68444763086494,20222.25625,3175535,64890,97.99748489781433,0.3883522884615378,95.26923076923077,1.5384615384615385,3.1394549807692305
1001,1960,BluesRock,Rock,1966,,0.45,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035743329670329706,0,0,0
1001,1960,Boogaloo,Latin,1966,1969,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023631664835164882,0,0,0
1001,1960,BossaNova,Jazz,1962,1967,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16403656593406568,0,0,0
1001,1960,BritishBeat,Rock,1963,1967,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,BritishBlues,Rock,1964,,0.85,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534178571428595,0,0,0
1001,1960,BritishPop,Pop,1964,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125341730769231,0,0,0
1001,1960,Bubblegum,Pop,1967,1971,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,Childrens,NonMusic,1950,,0.3,0.35,49,29,17,3,0,3,0,0,49,3,46,6.122448979591836,3,0,46,547356,0.3688109993213103,268223,32.88743334489976,11170.530612244898,528358,19858,96.37770513812075,0.3826273818681321,30.53846153846154,0.21153846153846154,0.7083061098901099
1001,1960,Classical,Classical,1945,,0.15,0.4,137,113,21,3,0,3,0,0,138,0,138,0,0,7,131,2281534,1.5373081404525508,1391182,37.87883408355016,16653.532846715327,1941614,343589,84.96461802299402,0.5086943214285727,109.13461538461539,6.211538461538462,2.5728650741758248
1001,1960,Comedy,NonMusic,1955,,0.15,0.4,50,27,20,3,0,3,0,0,50,2,48,4,2,0,48,778476,0.52454072213999,444977,36.37058391290879,15569.52,737059,42431,94.55656903873046,0.5206812774725268,35.94230769230769,0.4230769230769231,0.9022070219780216
1001,1960,ContemporaryFolk,Folk,1961,1969,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760244065934061,0,0,0
1001,1960,Country,Country,1950,,0.65,0.48,357,271,83,3,0,3,0,0,368,356,12,96.73913043478261,356,0,12,14816817,9.983639687024494,221243,1.4712203568811402,41503.68907563025,14816850,10266,99.93076199039652,0.6799203791208792,152.40384615384616,10,9.748627373626373
1001,1960,CountryRock,Country,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,DooWop,RhythmAndSoul,1954,1965,0.85,0.75,306,166,137,3,0,3,0,0,311,307,4,98.71382636655949,307,0,4,7383798,4.975237175013506,4743775,39.11561694990416,24130.058823529413,7391292,226,99.9969424413226,0.8545870576923081,106.86538461538461,4.288461538461538,8.328986645604399
1001,1960,EasyListening,Pop,1950,,0.35,0.65,251,184,64,3,0,3,0,0,254,62,192,24.409448818897637,62,0,192,8854145,5.965963770536512,3805543,30.060322181715694,35275.478087649404,8117341,742932,91.61502134302182,0.7750511456043949,173.3846153846154,23.557692307692307,6.921795359890107
1001,1960,Folk,Folk,1958,1966,0.5,0.4,223,150,70,3,0,3,0,0,226,81,145,35.84070796460177,81,0,145,7677448,5.173099900462213,3458084,31.054501931295245,34428.01793721973,7503921,180495,97.6511552732179,0.5529439780219783,148.32692307692307,6.480769230769231,5.348502175824175
1001,1960,FolkRock,Folk,1965,,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02436390384615378,0,0,0
1001,1960,Funk,RhythmAndSoul,1967,,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025401873626373618,0,0,0
1001,1960,GarageRock,Rock,1963,1968,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12534148351648328,0,0,0
1001,1960,Gospel,Gospel,1950,,0.7,0.35,106,50,53,3,0,3,0,0,107,96,11,89.7196261682243,96,0,11,1394895,0.9398866896467731,1196720,46.17661188100856,13159.38679245283,1395687,1593,99.8859927859842,0.452213428571429,35.28846153846154,0.5384615384615384,1.832390749999999
