seed,year,fromGenre,toGenre,selectionMode,opportunities,unavailableIdentity,annualFloorRequested,annualFloorReroutes
1001,1960,Blues,Blues,Retained,104,0,0,0
1001,1960,Blues,Blues,WeightedTransition,2,0,0,0
1001,1960,Blues,Comedy,WeightedTransition,2,0,0,0
1001,1960,Blues,Country,WeightedTransition,2,0,0,0
1001,1960,Blues,DooWop,WeightedTransition,7,0,0,0
1001,1960,Blues,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Blues,Folk,WeightedTransition,1,0,0,0
1001,1960,Blues,Gospel,WeightedTransition,2,0,0,0
1001,1960,Blues,Jazz,WeightedTransition,6,0,0,0
1001,1960,Blues,LatinPop,WeightedTransition,1,0,0,0
1001,1960,Blues,RockAndRoll,WeightedTransition,7,0,0,0
1001,1960,Blues,Soul,WeightedTransition,2,0,0,0
1001,1960,Blues,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Blues,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,Childrens,Childrens,Retained,20,0,0,0
1001,1960,Childrens,Country,WeightedTransition,2,0,0,0
1001,1960,Childrens,Folk,WeightedTransition,2,0,0,0
1001,1960,Childrens,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Childrens,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Childrens,TraditionalPop,WeightedTransition,1,0,0,0
1001,1960,Classical,Childrens,WeightedTransition,1,0,0,0
1001,1960,Classical,Classical,Retained,109,0,0,0
1001,1960,Classical,Classical,WeightedTransition,5,0,0,0
1001,1960,Classical,Country,WeightedTransition,1,0,0,0
1001,1960,Classical,EasyListening,WeightedTransition,4,0,0,0
1001,1960,Classical,Folk,WeightedTransition,2,0,0,0
1001,1960,Classical,Jazz,WeightedTransition,3,0,0,0
1001,1960,Classical,RnB,WeightedTransition,1,0,0,0
1001,1960,Classical,TeenPop,WeightedTransition,5,0,0,0
1001,1960,Classical,TraditionalPop,WeightedTransition,4,0,0,0
1001,1960,Comedy,Childrens,WeightedTransition,1,0,0,0
1001,1960,Comedy,Comedy,Retained,24,0,0,0
1001,1960,Comedy,Comedy,WeightedTransition,1,0,0,0
1001,1960,Comedy,Country,WeightedTransition,1,0,0,0
1001,1960,Comedy,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Comedy,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Comedy,TraditionalPop,WeightedTransition,5,0,0,0
1001,1960,Country,Blues,WeightedTransition,1,0,0,0
1001,1960,Country,Childrens,AnnualFloor,1,0,1,0
1001,1960,Country,Classical,WeightedTransition,4,0,0,0
1001,1960,Country,Comedy,WeightedTransition,1,0,0,0
1001,1960,Country,Country,AnnualFloor,2,0,2,0
1001,1960,Country,Country,Retained,222,0,0,0
1001,1960,Country,Country,WeightedTransition,43,0,0,0
1001,1960,Country,DooWop,WeightedTransition,4,0,0,0
1001,1960,Country,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Country,Folk,AnnualFloor,1,0,1,0
1001,1960,Country,Folk,WeightedTransition,5,0,0,0
1001,1960,Country,Gospel,WeightedTransition,2,0,0,0
1001,1960,Country,Jazz,AnnualFloor,1,0,1,0
1001,1960,Country,Jazz,WeightedTransition,4,0,0,0
1001,1960,Country,LatinPop,WeightedTransition,1,0,0,0
1001,1960,Country,RnB,WeightedTransition,2,0,0,0
1001,1960,Country,RockAndRoll,WeightedTransition,6,0,0,0
1001,1960,Country,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Country,TexMex,AnnualFloor,1,0,1,0
1001,1960,Country,TexMex,WeightedTransition,1,0,0,0
1001,1960,Country,TraditionalPop,WeightedTransition,1,0,0,0
1001,1960,DooWop,Comedy,AnnualFloor,1,0,1,0
1001,1960,DooWop,Comedy,WeightedTransition,1,0,0,0
1001,1960,DooWop,Country,WeightedTransition,1,0,0,0
1001,1960,DooWop,DooWop,Retained,166,0,0,0
1001,1960,DooWop,DooWop,WeightedTransition,11,0,0,0
1001,1960,DooWop,EasyListening,AnnualFloor,1,0,1,0
1001,1960,DooWop,EasyListening,WeightedTransition,1,0,0,0
1001,1960,DooWop,RnB,WeightedTransition,2,0,0,0
1001,1960,DooWop,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,DooWop,Soul,WeightedTransition,2,0,0,0
1001,1960,DooWop,TeenPop,WeightedTransition,2,0,0,0
1001,1960,DooWop,TraditionalPop,WeightedTransition,4,0,0,0
1001,1960,EasyListening,Blues,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Childrens,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Country,WeightedTransition,3,0,0,0
1001,1960,EasyListening,DooWop,WeightedTransition,2,0,0,0
1001,1960,EasyListening,EasyListening,Retained,201,0,0,0
1001,1960,EasyListening,EasyListening,WeightedTransition,6,0,0,0
1001,1960,EasyListening,Folk,WeightedTransition,2,0,0,0
1001,1960,EasyListening,Gospel,WeightedTransition,2,0,0,0
1001,1960,EasyListening,Jazz,WeightedTransition,4,0,0,0
1001,1960,EasyListening,LatinPop,WeightedTransition,1,0,0,0
1001,1960,EasyListening,RnB,WeightedTransition,1,0,0,0
1001,1960,EasyListening,RockAndRoll,WeightedTransition,2,0,0,0
1001,1960,EasyListening,TeenPop,WeightedTransition,3,0,0,0
1001,1960,EasyListening,TraditionalPop,WeightedTransition,6,0,0,0
1001,1960,Folk,Blues,WeightedTransition,2,0,0,0
1001,1960,Folk,Comedy,WeightedTransition,5,0,0,0
1001,1960,Folk,Country,WeightedTransition,10,0,0,0
1001,1960,Folk,DooWop,AnnualFloor,1,0,1,0
1001,1960,Folk,DooWop,WeightedTransition,2,0,0,0
1001,1960,Folk,EasyListening,WeightedTransition,5,0,0,0
1001,1960,Folk,Folk,AnnualFloor,1,0,1,0
1001,1960,Folk,Folk,Retained,153,0,0,0
1001,1960,Folk,Folk,WeightedTransition,48,0,0,0
1001,1960,Folk,Gospel,WeightedTransition,2,0,0,0
1001,1960,Folk,Jazz,AnnualFloor,1,0,1,0
1001,1960,Folk,Jazz,WeightedTransition,5,0,0,0
1001,1960,Folk,LatinPop,AnnualFloor,1,0,1,0
1001,1960,Folk,LatinPop,WeightedTransition,3,0,0,0
1001,1960,Folk,RnB,WeightedTransition,3,0,0,0
1001,1960,Folk,RockAndRoll,WeightedTransition,5,0,0,0
1001,1960,Folk,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Folk,TexMex,WeightedTransition,1,0,0,0
1001,1960,Folk,TraditionalPop,WeightedTransition,10,0,0,0
1001,1960,Gospel,Childrens,WeightedTransition,1,0,0,0
1001,1960,Gospel,Classical,WeightedTransition,1,0,0,0
1001,1960,Gospel,Country,AnnualFloor,1,0,1,0
1001,1960,Gospel,Country,WeightedTransition,4,0,0,0
1001,1960,Gospel,DooWop,WeightedTransition,3,0,0,0
1001,1960,Gospel,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Gospel,Folk,WeightedTransition,3,0,0,0
1001,1960,Gospel,Gospel,Retained,48,0,0,0
1001,1960,Gospel,Gospel,WeightedTransition,13,0,0,0
1001,1960,Gospel,RnB,WeightedTransition,6,0,0,0
1001,1960,Gospel,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Gospel,Soul,WeightedTransition,1,0,0,0
1001,1960,Gospel,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Gospel,TraditionalPop,WeightedTransition,1,0,0,0
1001,1960,Jazz,Blues,WeightedTransition,1,0,0,0
1001,1960,Jazz,Classical,WeightedTransition,1,0,0,0
1001,1960,Jazz,Comedy,AnnualFloor,1,0,1,0
1001,1960,Jazz,Country,WeightedTransition,2,0,0,0
1001,1960,Jazz,DooWop,WeightedTransition,4,0,0,0
1001,1960,Jazz,EasyListening,AnnualFloor,1,0,1,0
1001,1960,Jazz,EasyListening,WeightedTransition,4,0,0,0
1001,1960,Jazz,Folk,WeightedTransition,1,0,0,0
1001,1960,Jazz,Gospel,AnnualFloor,1,0,1,0
1001,1960,Jazz,Jazz,Retained,199,0,0,0
1001,1960,Jazz,Jazz,WeightedTransition,11,0,0,0
1001,1960,Jazz,TeenPop,WeightedTransition,4,0,0,0
1001,1960,Jazz,TraditionalPop,WeightedTransition,4,0,0,0
1001,1960,LatinPop,Country,WeightedTransition,2,0,0,0
1001,1960,LatinPop,Gospel,WeightedTransition,1,0,0,0
1001,1960,LatinPop,Jazz,WeightedTransition,1,0,0,0
1001,1960,LatinPop,LatinPop,Retained,27,0,0,0
1001,1960,LatinPop,LatinPop,WeightedTransition,2,0,0,0
1001,1960,LatinPop,TeenPop,WeightedTransition,4,0,0,0
1001,1960,RnB,Blues,AnnualFloor,1,0,1,0
1001,1960,RnB,Blues,WeightedTransition,3,0,0,0
1001,1960,RnB,Childrens,WeightedTransition,5,0,0,0
1001,1960,RnB,Classical,AnnualFloor,1,0,1,0
1001,1960,RnB,Classical,WeightedTransition,3,0,0,0
1001,1960,RnB,Comedy,AnnualFloor,1,0,1,0
1001,1960,RnB,Comedy,WeightedTransition,4,0,0,0
1001,1960,RnB,Country,WeightedTransition,5,0,0,0
1001,1960,RnB,DooWop,WeightedTransition,49,0,0,0
1001,1960,RnB,EasyListening,WeightedTransition,9,0,0,0
1001,1960,RnB,Folk,AnnualFloor,1,0,1,0
1001,1960,RnB,Folk,WeightedTransition,1,0,0,0
1001,1960,RnB,Gospel,WeightedTransition,11,0,0,0
1001,1960,RnB,Jazz,WeightedTransition,1,0,0,0
1001,1960,RnB,LatinPop,AnnualFloor,2,0,2,0
1001,1960,RnB,LatinPop,WeightedTransition,2,0,0,0
1001,1960,RnB,RnB,AnnualFloor,1,0,1,0
1001,1960,RnB,RnB,Retained,411,0,0,0
1001,1960,RnB,RnB,WeightedTransition,72,0,0,0
1001,1960,RnB,RockAndRoll,WeightedTransition,2,0,0,0
1001,1960,RnB,Soul,AnnualFloor,1,0,1,0
1001,1960,RnB,Soul,WeightedTransition,13,0,0,0
1001,1960,RnB,TeenPop,WeightedTransition,7,0,0,0
1001,1960,RnB,TexMex,AnnualFloor,1,0,1,0
1001,1960,RnB,TraditionalPop,WeightedTransition,9,0,0,0
1001,1960,RockAndRoll,Blues,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,Blues,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,Childrens,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,Childrens,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,Classical,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,Classical,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,Comedy,WeightedTransition,3,0,0,0
1001,1960,RockAndRoll,Country,WeightedTransition,3,0,0,0
1001,1960,RockAndRoll,DooWop,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,DooWop,WeightedTransition,6,0,0,0
1001,1960,RockAndRoll,EasyListening,WeightedTransition,3,0,0,0
1001,1960,RockAndRoll,Folk,WeightedTransition,4,0,0,0
1001,1960,RockAndRoll,Gospel,WeightedTransition,4,0,0,0
1001,1960,RockAndRoll,Jazz,WeightedTransition,1,0,0,0
1001,1960,RockAndRoll,LatinPop,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,RnB,WeightedTransition,4,0,0,0
1001,1960,RockAndRoll,RockAndRoll,AnnualFloor,3,0,3,0
1001,1960,RockAndRoll,RockAndRoll,Retained,584,0,0,0
1001,1960,RockAndRoll,RockAndRoll,WeightedTransition,60,0,0,0
1001,1960,RockAndRoll,Soul,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,TeenPop,WeightedTransition,8,0,0,0
1001,1960,RockAndRoll,TexMex,WeightedTransition,1,0,0,0
1001,1960,RockAndRoll,TraditionalPop,WeightedTransition,4,0,0,0
1001,1960,Soul,Blues,AnnualFloor,1,0,1,0
1001,1960,Soul,Blues,WeightedTransition,2,0,0,0
1001,1960,Soul,Childrens,WeightedTransition,2,0,0,0
1001,1960,Soul,Classical,WeightedTransition,1,0,0,0
1001,1960,Soul,Comedy,WeightedTransition,1,0,0,0
1001,1960,Soul,Country,WeightedTransition,2,0,0,0
1001,1960,Soul,DooWop,WeightedTransition,18,0,0,0
1001,1960,Soul,EasyListening,WeightedTransition,5,0,0,0
1001,1960,Soul,Folk,WeightedTransition,3,0,0,0
1001,1960,Soul,Gospel,AnnualFloor,2,0,2,0
1001,1960,Soul,Gospel,WeightedTransition,13,0,0,0
1001,1960,Soul,Jazz,AnnualFloor,1,0,1,0
1001,1960,Soul,Jazz,WeightedTransition,2,0,0,0
1001,1960,Soul,LatinPop,WeightedTransition,1,0,0,0
1001,1960,Soul,RnB,AnnualFloor,1,0,1,0
1001,1960,Soul,RnB,WeightedTransition,22,0,0,0
1001,1960,Soul,RockAndRoll,WeightedTransition,6,0,0,0
1001,1960,Soul,Soul,AnnualFloor,2,0,2,0
1001,1960,Soul,Soul,Retained,551,0,0,0
1001,1960,Soul,Soul,WeightedTransition,19,0,0,0
1001,1960,Soul,TeenPop,AnnualFloor,1,0,1,0
1001,1960,Soul,TeenPop,WeightedTransition,10,0,0,0
1001,1960,Soul,TexMex,WeightedTransition,1,0,0,0
1001,1960,Soul,TraditionalPop,WeightedTransition,9,0,0,0
1001,1960,TeenPop,Childrens,WeightedTransition,1,0,0,0
1001,1960,TeenPop,Classical,WeightedTransition,3,0,0,0
1001,1960,TeenPop,DooWop,AnnualFloor,1,0,1,0
1001,1960,TeenPop,DooWop,WeightedTransition,6,0,0,0
1001,1960,TeenPop,EasyListening,AnnualFloor,1,0,1,0
1001,1960,TeenPop,EasyListening,WeightedTransition,9,0,0,0
1001,1960,TeenPop,Folk,WeightedTransition,2,0,0,0
1001,1960,TeenPop,Jazz,WeightedTransition,4,0,0,0
1001,1960,TeenPop,LatinPop,WeightedTransition,1,0,0,0
1001,1960,TeenPop,RnB,WeightedTransition,3,0,0,0
