seed,year,genre,eligibleArtistProjectOpportunities,retainedSelections,transitionSelections,annualFloorSelections,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,singleDecisions,albumDecisions,orphanDecisions,promoDecisions,fulfilledUnits,settlementSingleUnits,settlementAlbumUnits
1001,1960,AcidRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BaroquePop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Blues,123,104,16,3,0,3,0,0,67,59,67,59,2860229,2819891,43361
1001,1960,BluesRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Boogaloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BossaNova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBlues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishPop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Bubblegum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Childrens,39,20,16,3,0,3,0,0,8,31,8,31,1011280,992693,19388
1001,1960,Classical,133,109,21,3,0,3,0,0,0,134,0,122,2470742,2085373,388621
1001,1960,Comedy,45,24,18,3,0,3,0,0,2,41,2,41,679826,651156,29530
1001,1960,ContemporaryFolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Country,312,222,87,3,0,3,0,0,297,21,297,21,12209780,12203722,15429
1001,1960,CountryRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,DooWop,282,166,113,3,0,3,0,0,276,8,276,8,8845358,8851016,1010
1001,1960,EasyListening,267,201,63,3,0,3,0,0,43,224,43,224,9451734,8702681,754740
1001,1960,Folk,233,153,77,3,0,3,0,0,70,164,70,164,9021053,8729709,297848
1001,1960,FolkRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Funk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,GarageRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Gospel,101,48,50,3,0,3,0,0,91,12,91,12,1533952,1533713,2685
1001,1960,HardRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Jazz,246,199,44,3,0,3,0,0,43,208,43,208,11659946,11209185,457387
