genre,family,year,targetSharePct,currentThreeSeedMeanSharePct,deltaPctPoints
Acid Rock,Rock,1960,0,0,0
Acid Rock,Rock,1961,0,0,0
Acid Rock,Rock,1962,0,0,0
Acid Rock,Rock,1963,0,0,0
Acid Rock,Rock,1964,0,0,0
Acid Rock,Rock,1965,0,0,0
Acid Rock,Rock,1966,0.13,0.8013824511896049,0.6713824511896049
Acid Rock,Rock,1967,0.54,2.8243644612260965,2.2843644612260965
Acid Rock,Rock,1968,0.71,0.5396614355934749,-0.17033856440652506
Acid Rock,Rock,1969,0.44,0.5481272499041863,0.10812724990418626
Baroque Pop,Pop,1960,0,0,0
Baroque Pop,Pop,1961,0,0,0
Baroque Pop,Pop,1962,0,0,0
Baroque Pop,Pop,1963,0,0,0
Baroque Pop,Pop,1964,0,0,0
Baroque Pop,Pop,1965,0,0,0
Baroque Pop,Pop,1966,0.4,1.3539155668848037,0.9539155668848037
Baroque Pop,Pop,1967,0.8,5.022051374501572,4.222051374501572
Baroque Pop,Pop,1968,0.57,4.410971213151388,3.8409712131513882
Baroque Pop,Pop,1969,0.29,3.3705994920709634,3.0805994920709634
Blues,Blues,1960,2.6,0.5376241805810686,-2.0623758194189312
Blues,Blues,1961,2.72,0.9341485800160441,-1.7858514199839561
Blues,Blues,1962,2.65,0.6137464296217529,-2.036253570378247
Blues,Blues,1963,2.55,0.8928183528945315,-1.6571816471054683
Blues,Blues,1964,2.26,0.9366320261125081,-1.3233679738874917
Blues,Blues,1965,2.36,0.8893469831383015,-1.4706530168616982
Blues,Blues,1966,2.27,1.1853445826097493,-1.0846554173902507
Blues,Blues,1967,2.01,1.271316259897397,-0.7386837401026027
Blues,Blues,1968,1.85,1.8068856334326922,-0.04311436656730794
Blues,Blues,1969,1.75,1.4608142054821194,-0.2891857945178806
Blues Rock,Rock,1960,0,0.1831998677500335,0.1831998677500335
Blues Rock,Rock,1961,0,0.09935649661538258,0.09935649661538258
Blues Rock,Rock,1962,0,0.014126208838783716,0.014126208838783716
Blues Rock,Rock,1963,0,0.0067583081032261474,0.0067583081032261474
Blues Rock,Rock,1964,0,0,0
Blues Rock,Rock,1965,0.12,0,-0.12
Blues Rock,Rock,1966,0.4,2.1542841653989355,1.7542841653989356
Blues Rock,Rock,1967,0.8,3.4039646161015846,2.6039646161015844
Blues Rock,Rock,1968,1.56,4.357802382394328,2.797802382394328
Blues Rock,Rock,1969,2.34,5.34148975056721,3.0014897505672105
Boogaloo,Latin,1960,0,0,0
Boogaloo,Latin,1961,0,0,0
Boogaloo,Latin,1962,0,0,0
Boogaloo,Latin,1963,0,0,0
Boogaloo,Latin,1964,0,0,0
Boogaloo,Latin,1965,0.12,0,-0.12
Boogaloo,Latin,1966,0.4,0.864751404803901,0.464751404803901
Boogaloo,Latin,1967,0.6,0.24115994515200287,-0.3588400548479971
Boogaloo,Latin,1968,0.5,0.3429609949235813,-0.15703900507641871
Boogaloo,Latin,1969,0.22,0.2508278553582138,0.03082785535821378
Bossa Nova,Jazz,1960,0,0,0
Bossa Nova,Jazz,1961,0.12,0,-0.12
Bossa Nova,Jazz,1962,1.08,0.504814141068464,-0.5751858589315361
Bossa Nova,Jazz,1963,1.46,0.9680130982398184,-0.49198690176018156
Bossa Nova,Jazz,1964,1.69,1.1762586867083347,-0.5137413132916653
Bossa Nova,Jazz,1965,0.87,1.1651697640736935,0.29516976407369355
Bossa Nova,Jazz,1966,0.33,1.7909440774164025,1.4609440774164024
Bossa Nova,Jazz,1967,0.13,0.6845065798701279,0.5545065798701279
Bossa Nova,Jazz,1968,0.07,0.16436418134842934,0.09436418134842933
Bossa Nova,Jazz,1969,0.03,0.03220245014991522,0.0022024501499152208
British Beat,Rock,1960,0,0,0
British Beat,Rock,1961,0,0,0
British Beat,Rock,1962,0,0,0
British Beat,Rock,1963,0.06,0.8348326780962506,0.7748326780962507
British Beat,Rock,1964,8.47,4.431244817287211,-4.03875518271279
British Beat,Rock,1965,7.46,3.9962166695674477,-3.4637833304325523
British Beat,Rock,1966,4.27,1.3697632623836793,-2.9002367376163205
British Beat,Rock,1967,2.14,0.5264190842121864,-1.6135809157878138
British Beat,Rock,1968,1.28,0.44115527337997135,-0.8388447266200287
British Beat,Rock,1969,0.88,0.4262635153172211,-0.4537364846827789
British Blues,Rock,1960,0,0,0
British Blues,Rock,1961,0,0,0
British Blues,Rock,1962,0,0,0
British Blues,Rock,1963,0,0,0
British Blues,Rock,1964,0.23,0.44757414268110574,0.21757414268110573
British Blues,Rock,1965,0.75,2.7585380194753895,2.0085380194753895
British Blues,Rock,1966,1.73,1.3386418128859774,-0.3913581871140226
British Blues,Rock,1967,2.68,1.2495382361321359,-1.4304617638678643
British Blues,Rock,1968,3.69,0.8741760452221264,-2.8158239547778736
British Blues,Rock,1969,4.09,0.8873340277054496,-3.2026659722945503
British Pop,Pop,1960,0,0,0
British Pop,Pop,1961,0,0,0
British Pop,Pop,1962,0,0,0
British Pop,Pop,1963,0.12,0,-0.12
British Pop,Pop,1964,5.08,3.8993404743747395,-1.1806595256252606
British Pop,Pop,1965,4.97,5.818860215294563,0.8488602152945637
British Pop,Pop,1966,4,2.7955805693632434,-1.2044194306367566
British Pop,Pop,1967,2.95,1.1813865730856012,-1.768613426914399
British Pop,Pop,1968,2.27,0.5897618494081014,-1.6802381505918986
British Pop,Pop,1969,1.75,0.636155503273824,-1.113844496726176
Bubblegum,Pop,1960,0,0,0
Bubblegum,Pop,1961,0,0,0
Bubblegum,Pop,1962,0,0,0
Bubblegum,Pop,1963,0,0,0
Bubblegum,Pop,1964,0,0,0
Bubblegum,Pop,1965,0,0,0
Bubblegum,Pop,1966,0,0,0
Bubblegum,Pop,1967,0.13,2.2632005527850008,2.133200552785001
Bubblegum,Pop,1968,1.99,6.480154690880273,4.4901546908802725
Bubblegum,Pop,1969,4.09,4.938182356745865,0.8481823567458653
Children's,NonMusic,1960,0.45,0.37411756724468653,-0.07588243275531348
Children's,NonMusic,1961,0.47,0.570291890488967,0.10029189048896703
Children's,NonMusic,1962,0.48,0.5655390162547469,0.08553901625474691
Children's,NonMusic,1963,0.49,0.7369310513588138,0.24693105135881377
Children's,NonMusic,1964,0.4,0.502184903816901,0.10218490381690093
Children's,NonMusic,1965,0.43,0.7746673654418478,0.3446673654418478
Children's,NonMusic,1966,0.4,0.5701478247941293,0.17014782479412927
Children's,NonMusic,1967,0.4,0.5253021640167584,0.12530216401675842
Children's,NonMusic,1968,0.43,0.5660976185088805,0.13609761850888052
Children's,NonMusic,1969,0.44,0.4836923487634583,0.04369234876345829
Classical,Classical,1960,2.04,0.3719076029982471,-1.668092397001753
Classical,Classical,1961,2.13,0.658981617424158,-1.471018382575842
Classical,Classical,1962,2.05,0.606101220674197,-1.443898779325803
Classical,Classical,1963,1.94,0.6026107613020422,-1.3373892386979578
Classical,Classical,1964,1.69,0.8029807707011115,-0.8870192292988884
Classical,Classical,1965,1.74,0.7308715062178367,-1.0091284937821632
Classical,Classical,1966,1.73,0.7181099077212331,-1.011890092278767
Classical,Classical,1967,1.74,0.3676535519478909,-1.372346448052109
Classical,Classical,1968,2.13,0.39535799096348917,-1.7346420090365107
Classical,Classical,1969,2.05,0.37856056051217585,-1.671439439487824
Comedy,NonMusic,1960,0.79,0.3625444939584675,-0.42745550604153254
Comedy,NonMusic,1961,0.83,1.1323353203597983,0.3023353203597984
Comedy,NonMusic,1962,0.84,0.9933421655863547,0.15334216558635472
Comedy,NonMusic,1963,0.73,1.0703696532031746,0.3403696532031746
Comedy,NonMusic,1964,0.68,1.2538026647163185,0.5738026647163185
Comedy,NonMusic,1965,0.62,0.8234915451291515,0.20349154512915146
Comedy,NonMusic,1966,0.67,0.7184966803471978,0.048496680347197785
Comedy,NonMusic,1967,0.67,0.4301626816842959,-0.23983731831570415
Comedy,NonMusic,1968,0.57,0.4715432664950528,-0.09845673350494716
