seed,year,fromGenre,toGenre,selectionMode,opportunities,unavailableIdentity,annualFloorRequested,annualFloorReroutes
1001,1960,Blues,Blues,Retained,73,0,0,0
1001,1960,Blues,Blues,WeightedTransition,7,0,0,0
1001,1960,Blues,Comedy,WeightedTransition,2,0,0,0
1001,1960,Blues,Country,WeightedTransition,4,0,0,0
1001,1960,Blues,DooWop,WeightedTransition,5,0,0,0
1001,1960,Blues,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Blues,Folk,WeightedTransition,1,0,0,0
1001,1960,Blues,Gospel,WeightedTransition,3,0,0,0
1001,1960,Blues,Jazz,WeightedTransition,4,0,0,0
1001,1960,Blues,RnB,WeightedTransition,2,0,0,0
1001,1960,Blues,RockAndRoll,WeightedTransition,12,0,0,0
1001,1960,Blues,Soul,WeightedTransition,1,0,0,0
1001,1960,Blues,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Childrens,Blues,WeightedTransition,1,0,0,0
1001,1960,Childrens,Childrens,Retained,34,0,0,0
1001,1960,Childrens,DooWop,WeightedTransition,1,0,0,0
1001,1960,Childrens,Folk,WeightedTransition,1,0,0,0
1001,1960,Childrens,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Childrens,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,Classical,Classical,Retained,70,0,0,0
1001,1960,Classical,DooWop,WeightedTransition,3,0,0,0
1001,1960,Classical,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Classical,Folk,WeightedTransition,1,0,0,0
1001,1960,Classical,Gospel,WeightedTransition,1,0,0,0
1001,1960,Classical,Jazz,WeightedTransition,4,0,0,0
1001,1960,Classical,RnB,WeightedTransition,1,0,0,0
1001,1960,Classical,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Classical,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Classical,TraditionalPop,WeightedTransition,3,0,0,0
1001,1960,Comedy,Childrens,WeightedTransition,1,0,0,0
1001,1960,Comedy,Comedy,Retained,37,0,0,0
1001,1960,Comedy,Comedy,WeightedTransition,1,0,0,0
1001,1960,Comedy,DooWop,WeightedTransition,1,0,0,0
1001,1960,Comedy,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Comedy,RnB,WeightedTransition,1,0,0,0
1001,1960,Comedy,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Comedy,TexMex,WeightedTransition,1,0,0,0
1001,1960,Comedy,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,Country,Blues,WeightedTransition,2,0,0,0
1001,1960,Country,Classical,WeightedTransition,2,0,0,0
1001,1960,Country,Comedy,WeightedTransition,2,0,0,0
1001,1960,Country,Country,AnnualFloor,2,0,2,0
1001,1960,Country,Country,Retained,257,0,0,0
1001,1960,Country,Country,WeightedTransition,26,0,0,0
1001,1960,Country,DooWop,WeightedTransition,1,0,0,0
1001,1960,Country,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Country,Folk,WeightedTransition,6,0,0,0
1001,1960,Country,Gospel,WeightedTransition,5,0,0,0
1001,1960,Country,Jazz,WeightedTransition,1,0,0,0
1001,1960,Country,LatinPop,WeightedTransition,2,0,0,0
1001,1960,Country,RnB,WeightedTransition,1,0,0,0
1001,1960,Country,RockAndRoll,WeightedTransition,7,0,0,0
1001,1960,Country,TeenPop,WeightedTransition,2,0,0,0
1001,1960,Country,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,DooWop,Blues,AnnualFloor,1,0,1,0
1001,1960,DooWop,Blues,WeightedTransition,3,0,0,0
1001,1960,DooWop,Childrens,WeightedTransition,1,0,0,0
1001,1960,DooWop,Classical,WeightedTransition,1,0,0,0
1001,1960,DooWop,DooWop,AnnualFloor,1,0,1,0
1001,1960,DooWop,DooWop,Retained,225,0,0,0
1001,1960,DooWop,DooWop,WeightedTransition,16,0,0,0
1001,1960,DooWop,EasyListening,WeightedTransition,3,0,0,0
1001,1960,DooWop,Folk,WeightedTransition,1,0,0,0
1001,1960,DooWop,Jazz,WeightedTransition,1,0,0,0
1001,1960,DooWop,LatinPop,AnnualFloor,1,0,1,0
1001,1960,DooWop,LatinPop,WeightedTransition,1,0,0,0
1001,1960,DooWop,RnB,WeightedTransition,9,0,0,0
1001,1960,DooWop,Soul,AnnualFloor,1,0,1,0
1001,1960,DooWop,Soul,WeightedTransition,1,0,0,0
1001,1960,DooWop,TeenPop,WeightedTransition,3,0,0,0
1001,1960,DooWop,TraditionalPop,WeightedTransition,3,0,0,0
1001,1960,EasyListening,Blues,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Childrens,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Comedy,WeightedTransition,1,0,0,0
1001,1960,EasyListening,Country,WeightedTransition,3,0,0,0
1001,1960,EasyListening,DooWop,WeightedTransition,2,0,0,0
1001,1960,EasyListening,EasyListening,Retained,224,0,0,0
1001,1960,EasyListening,EasyListening,WeightedTransition,12,0,0,0
1001,1960,EasyListening,Folk,WeightedTransition,2,0,0,0
1001,1960,EasyListening,Jazz,WeightedTransition,2,0,0,0
1001,1960,EasyListening,LatinPop,WeightedTransition,1,0,0,0
1001,1960,EasyListening,RockAndRoll,WeightedTransition,2,0,0,0
1001,1960,EasyListening,Soul,WeightedTransition,1,0,0,0
1001,1960,EasyListening,TeenPop,WeightedTransition,3,0,0,0
1001,1960,EasyListening,TraditionalPop,WeightedTransition,5,0,0,0
1001,1960,Folk,Blues,WeightedTransition,2,0,0,0
1001,1960,Folk,Childrens,WeightedTransition,3,0,0,0
1001,1960,Folk,Classical,WeightedTransition,1,0,0,0
1001,1960,Folk,Comedy,AnnualFloor,1,0,1,0
1001,1960,Folk,Comedy,WeightedTransition,1,0,0,0
1001,1960,Folk,Country,WeightedTransition,4,0,0,0
1001,1960,Folk,DooWop,WeightedTransition,3,0,0,0
1001,1960,Folk,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Folk,Folk,AnnualFloor,2,0,2,0
1001,1960,Folk,Folk,Retained,126,0,0,0
1001,1960,Folk,Folk,WeightedTransition,17,0,0,0
1001,1960,Folk,Jazz,WeightedTransition,2,0,0,0
1001,1960,Folk,LatinPop,WeightedTransition,2,0,0,0
1001,1960,Folk,RnB,WeightedTransition,2,0,0,0
1001,1960,Folk,RockAndRoll,WeightedTransition,3,0,0,0
1001,1960,Folk,TeenPop,AnnualFloor,1,0,1,0
1001,1960,Folk,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Folk,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,Gospel,Classical,AnnualFloor,1,0,1,0
1001,1960,Gospel,Country,WeightedTransition,2,0,0,0
1001,1960,Gospel,DooWop,WeightedTransition,4,0,0,0
1001,1960,Gospel,EasyListening,WeightedTransition,2,0,0,0
1001,1960,Gospel,Folk,WeightedTransition,1,0,0,0
1001,1960,Gospel,Gospel,AnnualFloor,1,0,1,0
1001,1960,Gospel,Gospel,Retained,35,0,0,0
1001,1960,Gospel,Gospel,WeightedTransition,6,0,0,0
1001,1960,Gospel,RnB,WeightedTransition,2,0,0,0
1001,1960,Gospel,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,Gospel,Soul,WeightedTransition,2,0,0,0
1001,1960,Gospel,TeenPop,WeightedTransition,1,0,0,0
1001,1960,Jazz,Blues,WeightedTransition,1,0,0,0
1001,1960,Jazz,Classical,WeightedTransition,1,0,0,0
1001,1960,Jazz,Comedy,WeightedTransition,2,0,0,0
1001,1960,Jazz,DooWop,WeightedTransition,8,0,0,0
1001,1960,Jazz,EasyListening,WeightedTransition,1,0,0,0
1001,1960,Jazz,Gospel,AnnualFloor,1,0,1,0
1001,1960,Jazz,Jazz,AnnualFloor,1,0,1,0
1001,1960,Jazz,Jazz,Retained,248,0,0,0
1001,1960,Jazz,Jazz,WeightedTransition,20,0,0,0
1001,1960,Jazz,LatinPop,AnnualFloor,1,0,1,0
1001,1960,Jazz,LatinPop,WeightedTransition,1,0,0,0
1001,1960,Jazz,RnB,AnnualFloor,1,0,1,0
1001,1960,Jazz,RnB,WeightedTransition,4,0,0,0
1001,1960,Jazz,Soul,WeightedTransition,3,0,0,0
1001,1960,Jazz,TeenPop,WeightedTransition,3,0,0,0
1001,1960,Jazz,TexMex,AnnualFloor,2,0,2,0
1001,1960,Jazz,TraditionalPop,WeightedTransition,4,0,0,0
1001,1960,LatinPop,Childrens,WeightedTransition,1,0,0,0
1001,1960,LatinPop,Comedy,WeightedTransition,2,0,0,0
1001,1960,LatinPop,Country,WeightedTransition,2,0,0,0
1001,1960,LatinPop,DooWop,WeightedTransition,3,0,0,0
1001,1960,LatinPop,EasyListening,WeightedTransition,1,0,0,0
1001,1960,LatinPop,Folk,WeightedTransition,1,0,0,0
1001,1960,LatinPop,Gospel,WeightedTransition,2,0,0,0
1001,1960,LatinPop,Jazz,WeightedTransition,2,0,0,0
1001,1960,LatinPop,LatinPop,Retained,24,0,0,0
1001,1960,LatinPop,LatinPop,WeightedTransition,2,0,0,0
1001,1960,LatinPop,RnB,WeightedTransition,3,0,0,0
1001,1960,LatinPop,TeenPop,WeightedTransition,1,0,0,0
1001,1960,LatinPop,TexMex,WeightedTransition,3,0,0,0
1001,1960,LatinPop,TraditionalPop,WeightedTransition,2,0,0,0
1001,1960,RnB,Blues,AnnualFloor,1,0,1,0
1001,1960,RnB,Childrens,AnnualFloor,2,0,2,0
1001,1960,RnB,Childrens,WeightedTransition,1,0,0,0
1001,1960,RnB,Classical,WeightedTransition,1,0,0,0
1001,1960,RnB,Comedy,AnnualFloor,2,0,2,0
1001,1960,RnB,Comedy,WeightedTransition,9,0,0,0
1001,1960,RnB,Country,WeightedTransition,3,0,0,0
1001,1960,RnB,DooWop,AnnualFloor,1,0,1,0
1001,1960,RnB,DooWop,WeightedTransition,32,0,0,0
1001,1960,RnB,EasyListening,WeightedTransition,3,0,0,0
1001,1960,RnB,Folk,WeightedTransition,4,0,0,0
1001,1960,RnB,Gospel,WeightedTransition,13,0,0,0
1001,1960,RnB,Jazz,WeightedTransition,2,0,0,0
1001,1960,RnB,LatinPop,AnnualFloor,1,0,1,0
1001,1960,RnB,LatinPop,WeightedTransition,1,0,0,0
1001,1960,RnB,RnB,AnnualFloor,1,0,1,0
1001,1960,RnB,RnB,Retained,321,0,0,0
1001,1960,RnB,RnB,WeightedTransition,38,0,0,0
1001,1960,RnB,RockAndRoll,AnnualFloor,1,0,1,0
1001,1960,RnB,RockAndRoll,WeightedTransition,1,0,0,0
1001,1960,RnB,Soul,AnnualFloor,1,0,1,0
1001,1960,RnB,Soul,WeightedTransition,10,0,0,0
1001,1960,RnB,TeenPop,WeightedTransition,6,0,0,0
1001,1960,RnB,TraditionalPop,AnnualFloor,1,0,1,0
1001,1960,RnB,TraditionalPop,WeightedTransition,8,0,0,0
1001,1960,RockAndRoll,Childrens,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,Childrens,WeightedTransition,3,0,0,0
1001,1960,RockAndRoll,Classical,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,Comedy,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,Country,WeightedTransition,4,0,0,0
1001,1960,RockAndRoll,DooWop,WeightedTransition,11,0,0,0
1001,1960,RockAndRoll,EasyListening,WeightedTransition,15,0,0,0
1001,1960,RockAndRoll,Folk,WeightedTransition,1,0,0,0
1001,1960,RockAndRoll,Gospel,WeightedTransition,4,0,0,0
1001,1960,RockAndRoll,Jazz,AnnualFloor,1,0,1,0
1001,1960,RockAndRoll,Jazz,WeightedTransition,2,0,0,0
1001,1960,RockAndRoll,RnB,WeightedTransition,6,0,0,0
1001,1960,RockAndRoll,RockAndRoll,AnnualFloor,2,0,2,0
1001,1960,RockAndRoll,RockAndRoll,Retained,465,0,0,0
1001,1960,RockAndRoll,RockAndRoll,WeightedTransition,47,0,0,0
1001,1960,RockAndRoll,Soul,WeightedTransition,3,0,0,0
1001,1960,RockAndRoll,TeenPop,WeightedTransition,7,0,0,0
1001,1960,RockAndRoll,TexMex,AnnualFloor,1,0,1,0
