seed,year,genre,eligibleArtistProjectOpportunities,retainedSelections,transitionSelections,annualFloorSelections,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,singleDecisions,albumDecisions,orphanDecisions,promoDecisions,fulfilledUnits,settlementSingleUnits,settlementAlbumUnits
1001,1960,AcidRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BaroquePop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Blues,97,73,21,3,0,3,0,0,59,39,59,39,2094778,2058334,38926
1001,1960,BluesRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Boogaloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BossaNova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishBlues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,BritishPop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Bubblegum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Childrens,58,34,21,3,0,3,0,0,18,40,18,40,890233,884472,7035
1001,1960,Classical,83,70,10,3,0,3,0,0,28,53,28,53,1321432,1309268,14306
1001,1960,Comedy,68,37,28,3,0,3,0,0,15,52,15,52,894196,887637,7828
1001,1960,ContemporaryFolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Country,316,257,56,3,0,3,0,0,285,42,285,42,12957084,12934443,33332
1001,1960,CountryRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,DooWop,341,225,113,3,0,3,0,0,326,21,326,21,8378960,8385110,2563
1001,1960,EasyListening,292,224,65,3,0,3,0,0,82,208,82,208,10450324,9982674,475011
1001,1960,Folk,172,126,43,3,0,3,0,0,59,117,59,117,6133974,5992589,146568
1001,1960,FolkRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Funk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,GarageRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Gospel,81,35,43,3,0,3,0,0,43,38,43,38,1394734,1386073,10627
1001,1960,HardRock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,1960,Jazz,301,248,50,3,0,3,0,0,61,245,61,245,13410183,12757032,661465
