seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1960,AcidRock,Rock,1966,1971,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,BaroquePop,Pop,1966,1970,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019999999999999817,0,0,0
1001,1960,Blues,Blues,1945,,0.5,0.3,97,73,21,3,0,3,0,0,98,59,39,60.204081632653065,59,0,39,2094778,1.400176029134341,1132855,35.09863110211105,21595.649484536083,2058334,38926,98.14395926113119,0.3790842060439562,51.17307692307692,1.5,1.721313829670328
1001,1960,BluesRock,Rock,1966,,0.45,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355250989010989,0,0,0
1001,1960,Boogaloo,Latin,1966,1969,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023631664835164882,0,0,0
1001,1960,BossaNova,Jazz,1962,1967,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16403656593406568,0,0,0
1001,1960,BritishBeat,Rock,1963,1967,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534181318681344,0,0,0
1001,1960,BritishBlues,Rock,1964,,0.65,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534178571428595,0,0,0
1001,1960,BritishPop,Pop,1964,1968,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125341730769231,0,0,0
1001,1960,Bubblegum,Pop,1967,1971,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,Childrens,NonMusic,1950,,0.3,0.35,58,34,21,3,0,3,0,0,58,18,40,31.03448275862069,18,0,40,890233,0.5950429625212561,466375,34.37802224371373,15348.844827586207,884472,7035,99.21088673448442,0.4175997197802211,31.75,0.40384615384615385,0.9750852747252751
1001,1960,Classical,Classical,1945,,0.15,0.3,83,70,10,3,0,3,0,0,81,28,53,34.5679012345679,28,0,53,1321432,0.8832618112902897,981005,42.607246148320236,15920.867469879518,1309268,14306,98.91913863524064,0.3632822939560443,51.86538461538461,0.6923076923076923,1.5648189093406604
1001,1960,Comedy,NonMusic,1955,,0.15,0.4,68,37,28,3,0,3,0,0,67,15,52,22.388059701492537,15,0,52,894196,0.5976918816923852,523616,36.93127156491834,13149.941176470587,887637,7828,99.12581731279279,0.5257851126373605,35.44230769230769,0.40384615384615385,1.1319412609890105
1001,1960,ContemporaryFolk,Folk,1961,1969,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760244065934061,0,0,0
1001,1960,Country,Country,1950,,0.65,0.65,316,257,56,3,0,3,0,0,327,285,42,87.1559633027523,285,0,42,12957084,8.66067832690629,183699,1.397930397298243,41003.43037974684,12934443,33332,99.74296284443554,0.8213246236263748,167.8653846153846,8.596153846153847,10.57527417582418
1001,1960,CountryRock,Country,1968,,0.4,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012534175824175847,0,0,0
1001,1960,DooWop,RhythmAndSoul,1954,1965,0.85,0.75,341,225,113,3,0,3,0,0,347,326,21,93.94812680115274,326,0,21,8378960,5.600602517820732,5110734,37.88621150338918,24571.730205278593,8385110,2563,99.96944325321219,0.8545870576923081,122.98076923076923,5.538461538461538,9.30371517307692
1001,1960,EasyListening,Pop,1950,,0.35,0.8,292,224,65,3,0,3,0,0,290,82,208,28.275862068965516,82,0,208,10450324,6.985128334118127,4783707,31.401452445514913,35788.78082191781,9982674,475011,95.45778056998275,0.9123422554945045,199.75,16.442307692307693,9.6434277445055
1001,1960,Folk,Folk,1958,1966,0.5,0.4,172,126,43,3,0,3,0,0,176,59,117,33.52272727272727,59,0,117,6133974,4.100025567450723,2609324,29.843704286414578,35662.63953488372,5992589,146568,97.6125712373865,0.5529439780219783,121.61538461538461,6.230769230769231,4.284673843406591
1001,1960,FolkRock,Folk,1965,,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022287096153846164,0,0,0
1001,1960,Funk,RhythmAndSoul,1967,,0.7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025401873626373618,0,0,0
1001,1960,GarageRock,Rock,1963,1968,0.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12534148351648328,0,0,0
1001,1960,Gospel,Gospel,1950,,0.5,0.35,81,35,43,3,0,3,0,0,81,43,38,53.08641975308642,43,0,38,1394734,0.9322577923859502,956249,40.67443277982019,17218.938271604937,1386073,10627,99.23913510417412,0.452213428571429,41.90384615384615,0.6923076923076923,1.543029991758243
